"vid","hs","ag","ex","co","em","op"
"SELTCAWRS_t204_v8",6.4,1.4,1.2,1.2,1.4,1.6
"SELTCAWRS_t205_v1",5.2,2.4,2,1.8,3,2.8
"SELTCAWRS_t205_v2",5.4,5.2,5.2,5.6,5.2,5.2
"SELTCAWRS_t205_v3",5.8,2,2.2,2,2,2.2
"SELTCAWRS_t205_v4",6.2,6.2,5.6,6.2,5.8,5.8
"SELTCAWRS_t205_v5",4.6,4.8,4.2,5.2,4.4,4.2
"SELTCAWRS_t205_v6",5.5,2.25,2,1.5,2.25,2.5
"SELTCAWRS_t205_v7",6,6.2,5.8,6,5.8,6.2
"SELTCAWRS_t205_v8",5.2,2.6,1.6,3,2,3.6
"SELTCAWRS_t206_v1",4.8,1.8,4,1.8,2,3.2
"SELTCAWRS_t206_v2",5.2,4,4.6,5.8,4.4,4.6
"SELTCAWRS_t206_v3",5.2,2.4,3,2.4,2.8,2.4
"SELTCAWRS_t206_v4",4.4,5.6,4.4,4.4,3.8,4.4
"SELTCAWRS_t206_v5",4.2,4.8,4,5.2,4.8,4.4
"SELTCAWRS_t206_v6",4.8,2,3.6,1.8,2.4,2.8
"SELTCAWRS_t206_v7",5.4,5.8,5.2,5.8,4.6,5.6
"SELTCAWRS_t206_v8",4.4,2.6,2.4,3.2,3.4,4.2
"SELTCAWRS_t207_v3",5.4,2,1.8,2,1.8,3.2
"SELTCAWRS_t207_v7",5.8,5.8,5.6,6,5.2,5
"SELTCAWRS_t207_v8",6,1.8,1.8,2,1.8,2.2
"SELTCAWRS_t209_v1",3.8,1.8,4.6,2.6,1.8,3.4
"SELTCAWRS_t209_v2",3.2,4,2.4,3.6,5.2,2.8
"SELTCAWRS_t209_v3",3.8,2.6,3.6,2.8,3,4.4
"SELTCAWRS_t209_v4",3.4,5,2.8,3.4,3.6,2.8
"SELTCAWRS_t209_v5",3.8,3.4,2.6,4.6,4.2,3.8
"SELTCAWRS_t209_v6",3.8,1.8,5,2.4,1.6,4.2
"SELTCAWRS_t209_v7",3.8,5.2,3,3.6,4,3.6
"SELTCAWRS_t209_v8",3,3.2,4,4.6,3,5.2
"SELTCAWRS_t21_v1",6.2,1.8,1.8,1.8,2.8,1.6
"SELTCAWRS_t21_v2",5.2,3.8,6,5.8,5.4,4.8
"SELTCAWRS_t21_v3",6.2,2.2,1.2,1.8,1.2,2.2
"SELTCAWRS_t21_v4",5.8,5.6,5.8,6,5.8,5.6
"SELTCAWRS_t21_v5",6,5.4,5.6,6,6.2,6
"SELTCAWRS_t21_v6",6.2,2,2.4,1.8,2.2,1.8
"SELTCAWRS_t21_v7",6.4,5.2,6.6,6.4,6.6,6.6
"SELTCAWRS_t21_v8",6,2,1.2,1.8,1.2,2
"SELTCAWRS_t211_v1",2.2,3.6,1.4,3.6,5.8,5.6
"SELTCAWRS_t211_v2",3.8,3.8,6,5.2,4.8,4.8
"SELTCAWRS_t211_v3",4.6,1.6,1.2,2.2,1.6,3.2
"SELTCAWRS_t211_v4",5.4,5.8,6.2,6,5.8,5
"SELTCAWRS_t211_v5",4.6,4.4,6.2,5.4,4.4,4.6
"SELTCAWRS_t211_v6",4.4,3,1.4,2,2.6,3.4
"SELTCAWRS_t211_v7",5,5.4,6,5.8,4.2,5.8
"SELTCAWRS_t211_v8",5,1.4,1.6,2.2,1.6,3.8
"SELTCAWRS_t212_v1",4,1.8,2.6,2,2.8,3.2
"SELTCAWRS_t212_v3",4.6,2.4,2,2,2.8,2.8
"SELTCAWRS_t213_v1",5.8,1.6,2.4,1.6,1.6,2.2
"SELTCAWRS_t213_v2",5.4,5,5.4,5.6,5.2,5.4
"SELTCAWRS_t213_v3",5.4,1.8,1.6,1.8,1.6,2.4
"SELTCAWRS_t213_v4",4.6,5,4.2,4.8,4.8,5
"SELTCAWRS_t213_v5",4.8,4.8,4.8,5.4,5.2,4.8
"SELTCAWRS_t213_v6",4.6,2,3,3,1.8,2.6
"SELTCAWRS_t213_v7",4.6,5,4,5.4,5.4,4.4
"SELTCAWRS_t213_v8",5.6,1.6,1.4,1.6,1.6,2.4
"SELTCAWRS_t214_v1",5.5,2.25,2,1.5,1.5,1.75
"SELTCAWRS_t214_v2",5.2,4.8,4.8,5.2,5.4,5
"SELTCAWRS_t214_v3",5.8,1.4,1.4,1.4,1.4,2.2
"SELTCAWRS_t214_v4",6,6,5.2,6,6,5.6
"SELTCAWRS_t214_v5",4,4.2,3.6,4.8,4.8,4.4
"SELTCAWRS_t214_v6",4.8,2,3.6,1.8,2.6,2
"SELTCAWRS_t214_v7",4.8,5.2,4.4,4.8,5.4,5.6
"SELTCAWRS_t214_v8",5.4,1.6,1.6,1.6,1.6,2
"SELTCAWRS_t215_v1",5,2.6,4,2.2,3,2.2
"SELTCAWRS_t215_v2",5.4,5,5.2,5.6,5.8,4.6
"SELTCAWRS_t215_v3",5.4,1.8,1.8,1.8,1.8,2.6
"SELTCAWRS_t215_v4",5.2,5.8,4.4,5.4,5.4,4.6
"SELTCAWRS_t215_v5",5.6,5.2,5.4,6,5.4,5.6
"SELTCAWRS_t215_v6",5.6,1.6,2.2,1.6,2,1.8
"SELTCAWRS_t215_v7",5.8,6,5.4,6,5.4,5.8
"SELTCAWRS_t215_v8",5.8,1.6,1.4,1.6,1.4,2
"SELTCAWRS_t216_v1",5.8,1.6,2.6,1.4,1.8,1.8
"SELTCAWRS_t216_v2",5.2,5.2,4.2,6.2,5.2,5
"SELTCAWRS_t216_v3",5.6,1.8,1.8,1.8,1.6,2.4
"SELTCAWRS_t216_v4",5.6,5.8,5.2,5.8,6,5.8
"SELTCAWRS_t216_v5",4.8,5,4,5.4,5.4,4.6
"SELTCAWRS_t216_v6",6,2,2.8,1.6,2,2.2
"SELTCAWRS_t216_v7",5.6,5.8,5.4,5.8,5.6,5.6
"SELTCAWRS_t216_v8",6,1.8,1.8,1.8,1.8,2.2
"SELTCAWRS_t217_v1",4.8,2.4,2.6,2.4,2.4,2.6
"SELTCAWRS_t217_v2",4.6,4.4,3.6,4.8,4.8,4.2
"SELTCAWRS_t217_v3",5.8,1.6,1.6,1.4,1.6,2
"SELTCAWRS_t217_v4",5.6,5.4,6,5.8,5.4,5.6
"SELTCAWRS_t217_v5",5.6,5.2,5.2,6.2,5.6,5.8
"SELTCAWRS_t217_v6",5,2,2,2.2,2.6,2.4
"SELTCAWRS_t217_v7",6,5.8,5.8,6,5.6,5.8
"SELTCAWRS_t217_v8",5.4,2.4,1.4,1.4,1.8,1.6
"SELTCAWRS_t218_v1",4.6,2.8,3.4,2.2,3,2.8
"SELTCAWRS_t218_v2",5.6,5.2,5,5.8,5.4,5.8
"SELTCAWRS_t218_v3",5.4,2,2,2,2,3.2
"SELTCAWRS_t218_v4",6,6.2,5,6.2,5.4,5.8
"SELTCAWRS_t218_v5",5.8,5.2,5.4,6,5.2,5.8
"SELTCAWRS_t218_v6",5.6,1.8,2,1.8,2.4,2.2
"SELTCAWRS_t218_v7",6,6.2,5.4,6.2,5.8,5.6
"SELTCAWRS_t218_v8",5.8,1.8,1.4,1.4,1.4,2.4
"SELTCAWRS_t219_v1",5.8,1.4,2.2,1.6,1.2,1.6
"SELTCAWRS_t219_v2",5.6,5.6,5.2,6.2,6.2,5
"SELTCAWRS_t219_v3",5.6,1.6,1.6,1.4,1.6,3.2
"SELTCAWRS_t219_v4",5.8,6,5.2,5.8,5.4,5.2
"SELTCAWRS_t219_v5",5,5,4.2,4.8,5.2,4.8
"SELTCAWRS_t219_v6",5.4,1.8,3,1.8,2,2
"SELTCAWRS_t219_v7",5.4,5.6,5.6,5.6,5.4,5.2
"SELTCAWRS_t219_v8",4.8,1.8,1.6,2.2,1.6,3
"SELTCAWRS_t220_v1",3.8,3.4,3.2,1.8,3.2,4
"SELTCAWRS_t220_v2",3.8,3.8,5,4.8,5,4.4
"SELTCAWRS_t220_v3",4.4,3.2,2.8,2.2,2.2,3.2
"SELTCAWRS_t220_v4",3.2,4.8,3.8,4.4,6,3.6
"SELTCAWRS_t220_v5",3,2.6,3.4,3.6,5,4.4
"SELTCAWRS_t220_v6",4,3.25,3,3,2.25,3.25
"SELTCAWRS_t220_v7",3,3.25,5.25,3,5.25,4.75
"SELTCAWRS_t220_v8",3.5,4.5,2,4,2.25,2.5
"SELTCAWRS_t222_v2",5.8,5,5.6,6.2,5.8,5.8
"SELTCAWRS_t222_v3",6.2,1.6,1.6,1.6,1.6,2.6
"SELTCAWRS_t222_v4",6,6,5.6,6,5.8,5.8
"SELTCAWRS_t222_v5",5.6,6,5.2,5.8,5.4,4.8
"SELTCAWRS_t222_v6",6,1.6,2,1.6,1.6,1.6
"SELTCAWRS_t222_v7",6.2,6,5.2,6,5.8,5.8
"SELTCAWRS_t222_v8",6.2,1.6,1.6,1.6,1.6,1.6
"SELTCAWRS_t223_v1",4.2,3.6,1.6,2,2.8,2.6
"SELTCAWRS_t223_v2",4.8,3.8,5.8,5.8,4.6,4.2
"SELTCAWRS_t223_v4",5.2,5.8,5.2,5.8,5.2,5.4
"SELTCAWRS_t223_v5",4.4,4.2,5.6,5.2,4.2,4.6
"SELTCAWRS_t223_v6",5.8,1.8,2.4,1.8,2.2,2
"SELTCAWRS_t223_v7",5.2,5.4,4.2,4.8,5,5.2
"SELTCAWRS_t223_v8",5.8,2,1.4,1.6,1.4,2
"SELTCAWRS_t224_v2",5,3.8,6.2,6,4.4,4.8
"SELTCAWRS_t224_v3",5.4,2.6,1.6,2,1.6,2.2
"SELTCAWRS_t224_v4",5.6,6.2,6,6.2,5.6,6.2
"SELTCAWRS_t224_v5",5.6,4.8,6,6,4.8,6.2
"SELTCAWRS_t224_v6",5.6,1.8,1.4,1.2,2.4,1.4
"SELTCAWRS_t224_v8",5.2,3.2,1.4,1.6,1.6,2.2
"SELTCAWRS_t225_v1",5.8,1.6,1.8,1.6,2,1.6
"SELTCAWRS_t225_v2",5.8,5.8,5.2,6.2,5.6,4.8
"SELTCAWRS_t225_v3",6,1.4,1.4,1.4,1.6,1.8
"SELTCAWRS_t225_v4",6.2,6.2,6,6.2,6.2,6.2
"SELTCAWRS_t225_v5",6.6,6,6,6.2,6.2,6
"SELTCAWRS_t225_v6",6,2,3,1.6,1.8,1.8
"SELTCAWRS_t225_v7",6.2,5.8,5.8,5.8,5.8,6.2
"SELTCAWRS_t225_v8",6.6,1.2,1.2,1.2,1.2,1.6
"SELTCAWRS_t226_v1",6.4,1.6,1.6,1.6,1.6,1.6
"SELTCAWRS_t226_v2",5.6,4.2,5.8,6.2,4.6,6
"SELTCAWRS_t226_v3",6.4,2.8,1.6,1.6,1.6,1.6
"SELTCAWRS_t226_v4",6.4,6.4,5.6,6.4,6.4,6
"SELTCAWRS_t226_v5",6,4.6,6.2,6.2,5.6,6
"SELTCAWRS_t226_v6",6.2,1.6,1.6,1.4,1.6,1.4
"SELTCAWRS_t226_v7",6.6,6.6,6.2,6.6,6,6
"SELTCAWRS_t226_v8",5.8,2.2,1.4,1.6,1.4,2
"SELTCAWRS_t227_v1",5.4,2,3.2,1.8,1.6,2.4
"SELTCAWRS_t227_v2",4.4,4.4,4,4.2,5.2,3.8
"SELTCAWRS_t227_v3",4.6,2.2,3,2.8,2.6,3.4
"SELTCAWRS_t227_v4",4.4,5.4,3.2,5.2,3.8,3.8
"SELTCAWRS_t227_v5",4.4,4.8,2.6,4.8,5.2,3.8
"SELTCAWRS_t227_v6",4.2,2,4,3,1.8,3
"SELTCAWRS_t227_v7",5.4,5.8,5,5.6,5,5.2
"SELTCAWRS_t227_v8",4.4,2,2.4,3,2.4,4.2
"SELTCAWRS_t228_v1",4.6,1.8,3,1.8,2.4,2.4
"SELTCAWRS_t228_v2",4,4.2,4.2,4.6,4.6,3.2
"SELTCAWRS_t228_v3",5.2,2.2,2.8,2,2.2,3
"SELTCAWRS_t228_v4",4.75,5.5,4.25,5.25,5.5,4.75
"SELTCAWRS_t228_v5",4.4,4.4,4.2,5.2,4.8,4.2
"SELTCAWRS_t228_v6",5.2,2,3,2,1.8,2.6
"SELTCAWRS_t228_v7",3.8,4.6,3.4,3,4.2,4.2
"SELTCAWRS_t228_v8",5,2.2,2,2.2,2.2,2.6
"SELTCAWRS_t23_v1",5,1.4,3.8,1.8,2.2,2.8
"SELTCAWRS_t23_v2",5.2,4,3.4,6,6,4.2
"SELTCAWRS_t23_v3",5,1.8,2.4,2.6,1.4,2.8
"SELTCAWRS_t23_v4",4.4,5.4,4.8,5,5,4.4
"SELTCAWRS_t23_v5",3.2,3.6,2.8,3.6,5,3
"SELTCAWRS_t23_v6",5.2,1.4,3.4,1.2,1.2,2.8
"SELTCAWRS_t23_v7",5.6,5.4,5.4,4.8,6,6
"SELTCAWRS_t23_v8",5.6,1.8,1.6,1.8,1.4,2.4
"SELTCAWRS_t231_v1",5.8,1.6,2.2,1.6,1.8,1.8
"SELTCAWRS_t231_v2",6,5.4,4.8,5.8,5.8,5
"SELTCAWRS_t231_v3",5.8,1.8,1.6,1.8,1.6,2
"SELTCAWRS_t231_v4",5.8,5.6,5,5.6,6,5.4
"SELTCAWRS_t231_v5",5.8,5.8,5.8,6,6,6
"SELTCAWRS_t231_v6",5.8,1.4,2.6,1.6,1.2,1.8
"SELTCAWRS_t231_v7",6.2,6,5.6,6,5.6,5.8
"SELTCAWRS_t231_v8",6.2,1.6,1.4,1.8,1.6,1.8
"SELTCAWRS_t232_v1",2.6,3,5,3.6,2.2,4.2
"SELTCAWRS_t232_v2",2,2.6,2.8,3.6,5,3
"SELTCAWRS_t232_v3",2,4.2,2.8,4.2,2.4,4.8
"SELTCAWRS_t232_v4",2,3.4,2,2.2,2.8,2.8
"SELTCAWRS_t232_v5",2,2.6,3,3.8,5.2,3.4
"SELTCAWRS_t232_v6",1.6,4.6,4.8,5.2,3.4,5.4
"SELTCAWRS_t232_v7",2.2,3.6,2.6,2.8,4.6,2.6
"SELTCAWRS_t232_v8",2.4,4.4,2.4,4.2,3,4.2
"SELTCAWRS_t233_v1",4.6,3.4,2.6,2.4,3.2,2.8
"SELTCAWRS_t233_v2",5.4,3.8,5.2,5.8,4,5.6
"SELTCAWRS_t233_v3",5,2.6,1.6,1.6,1.6,2.6
"SELTCAWRS_t233_v4",5.6,5.2,5,5.4,5,5.4
"SELTCAWRS_t233_v5",5.4,5,5.6,5.8,5,5.6
"SELTCAWRS_t233_v6",4.2,3.2,3.6,2,4.2,3.4
"SELTCAWRS_t233_v7",5.4,5.6,5,5.2,5.2,5
"SELTCAWRS_t233_v8",5.4,2.4,1.6,2,1.6,2.4
"SELTCAWRS_t234_v4",5.8,6,4.8,6,5,5.4
"SELTCAWRS_t234_v7",5,5.8,5.2,5,5.4,4.6
"SELTCAWRS_t234_v8",5,3.2,2.4,1.6,1.6,2.2
"SELTCAWRS_t235_v1",5.4,1.6,2.4,2.2,1.6,2.2
"SELTCAWRS_t235_v2",5.75,5.75,5.5,6,6,5.5
"SELTCAWRS_t235_v3",5.4,1.4,2,2.2,2,2.6
"SELTCAWRS_t235_v4",5.6,5.6,5,5.6,5,5.6
"SELTCAWRS_t235_v5",5.6,5.4,5.2,5.4,5.6,5
"SELTCAWRS_t235_v6",5.6,1.8,2.8,2,2.2,2.4
"SELTCAWRS_t235_v7",6.2,6,5.2,6,6,5.8
"SELTCAWRS_t235_v8",6,1.6,1.4,1.6,1.4,2
"SELTCAWRS_t236_v1",5.2,1.8,3,1.8,1.6,2
"SELTCAWRS_t236_v2",6,5,5.8,6.2,5.6,5.4
"SELTCAWRS_t236_v3",6,1.5,1.5,1.25,1.25,1.75
"SELTCAWRS_t236_v4",6,6.6,4.6,6.2,6,5.6
"SELTCAWRS_t236_v5",6.2,5.4,5.8,6,5.6,5.8
"SELTCAWRS_t236_v7",6.2,6.2,5.8,6.2,5.6,5.6
"SELTCAWRS_t236_v8",6.2,1.6,1.2,1.4,1.2,1.6
"SELTCAWRS_t237_v1",6,1.6,2.6,1.8,1.4,2
"SELTCAWRS_t237_v2",6,5.6,5.8,6.2,5.8,5.8
"SELTCAWRS_t237_v3",6,1.4,1.8,1.6,1.6,2
"SELTCAWRS_t237_v4",6.2,6.4,6,6.2,6,6
"SELTCAWRS_t237_v5",6.2,6,5.4,6.2,6,5.4
"SELTCAWRS_t237_v6",6.4,1.2,2.8,1.4,1.6,1.6
"SELTCAWRS_t237_v7",6,6.2,6,6.2,6.2,6.2
"SELTCAWRS_t237_v8",6,1.6,1.6,1.6,1.6,2
"SELTCAWRS_t238_v1",4.2,3.2,2.8,2.2,3.2,2.6
"SELTCAWRS_t238_v2",4.8,3.8,5.4,5.4,5.4,4.4
"SELTCAWRS_t238_v3",4.4,3.8,1.6,2.2,1.4,3.2
"SELTCAWRS_t238_v4",4.6,5,4.6,5.2,5.2,4.4
"SELTCAWRS_t238_v5",4.75,4.25,4.25,5,5.75,4.75
"SELTCAWRS_t238_v6",4.6,3.4,3.2,2.6,2.4,2.4
"SELTCAWRS_t238_v7",4.4,5.2,4.8,4.4,5.4,4.8
"SELTCAWRS_t238_v8",4.6,3.8,1.4,2.4,1.4,4
"SELTCAWRS_t239_v1",5.6,1.8,3,1.8,1.8,1.8
"SELTCAWRS_t239_v2",5,5,5,5.8,5.4,5.4
"SELTCAWRS_t239_v3",5.4,2.4,1.8,2,1.8,3
"SELTCAWRS_t239_v4",5.4,5.6,5,4.8,5,4.8
"SELTCAWRS_t239_v7",5.2,6,4.2,4.6,6.2,3.8
"SELTCAWRS_t239_v8",5,2.2,1.8,2.8,1.6,3.8
"SELTCAWRS_t240_v1",3.4,2.6,5.6,3.4,2.6,4.2
"SELTCAWRS_t240_v2",4.4,3.6,4,4.6,5.4,3.6
"SELTCAWRS_t240_v3",4.8,2.6,2,2,2,2.6
"SELTCAWRS_t240_v4",5,5.8,5.2,5.6,5,5
"SELTCAWRS_t240_v5",5,4.8,4,5.2,5.6,4
"SELTCAWRS_t240_v6",5.2,2.2,3.6,2,2.4,2.6
"SELTCAWRS_t240_v7",5.4,6.2,4.8,5.4,5.6,5
"SELTCAWRS_t240_v8",5,3,2.2,2,2.4,2.8
"SELTCAWRS_t242_v1",6.4,1.4,2.6,1.2,1.2,1.6
"SELTCAWRS_t242_v2",6.2,6.2,5.8,6.4,6,6
"SELTCAWRS_t242_v3",6.6,1.4,1.2,1.4,1.4,1.4
"SELTCAWRS_t242_v4",6.6,6.6,6.2,6.4,6,6.4
"SELTCAWRS_t242_v5",6.6,6.4,6.4,6.6,6.6,6.6
"SELTCAWRS_t242_v6",6.6,1.2,2,1.2,1.2,1.2
"SELTCAWRS_t242_v7",7,6.8,6.6,7,7,6.8
"SELTCAWRS_t242_v8",6.8,1,1,1,1.2,1
"SELTCAWRS_t243_v2",4.8,4.2,3.8,5.4,4.6,4.4
"SELTCAWRS_t243_v3",4.4,2.8,4.2,2.4,3,2.6
"SELTCAWRS_t243_v4",4.6,6,4.4,4.8,4.6,5
"SELTCAWRS_t243_v5",5.4,5.2,3.8,5.6,5.4,5
"SELTCAWRS_t243_v6",5.4,1.6,4,1.8,1.6,3.4
"SELTCAWRS_t243_v7",5.6,6,5.6,6,6,5.4
"SELTCAWRS_t243_v8",5.4,1.6,2.8,2,2.2,2.2
"SELTCAWRS_t244_v1",2.6,4.6,3.6,4,3.8,4.6
"SELTCAWRS_t244_v2",4.2,3.8,5.2,4.4,4.8,4.2
"SELTCAWRS_t244_v3",4.4,3,1.6,2.2,1.8,2.4
"SELTCAWRS_t244_v4",4.75,5.5,4.75,5,5,5.25
"SELTCAWRS_t244_v5",4.4,3.8,4.8,5.4,5.2,4.8
"SELTCAWRS_t244_v6",3.8,3.4,3.6,3,3.4,4.2
"SELTCAWRS_t244_v7",3.8,5.4,5.6,4.8,4.8,4.6
"SELTCAWRS_t244_v8",4.6,2.8,2,2.4,2,2.2
"SELTCAWRS_t245_v1",5.75,1.75,2.75,1.75,1.5,2
"SELTCAWRS_t245_v2",5.6,5.2,6.2,6.2,5.4,6
"SELTCAWRS_t245_v3",5.8,2.4,1.6,1.6,1.6,2.8
"SELTCAWRS_t245_v4",6.2,6.4,6.2,6.2,5.6,6.2
"SELTCAWRS_t245_v5",6.2,5.4,6.4,6.4,5.4,6
"SELTCAWRS_t245_v7",6.6,6.4,6.4,6.4,6.2,6.6
"SELTCAWRS_t245_v8",6.8,1.2,1.2,1.2,1.2,1.2
"SELTCAWRS_t247_v2",6,4.8,5.6,6,5.2,5.6
"SELTCAWRS_t247_v3",6,1.6,1.6,1.6,1.6,1.8
"SELTCAWRS_t247_v4",5.6,5.8,5.8,5.8,5,5.8
"SELTCAWRS_t247_v5",5.6,4.8,5.6,5.8,4.8,5.8
"SELTCAWRS_t247_v6",5.8,1.4,2.6,1.4,1.4,1.6
"SELTCAWRS_t247_v7",6,6,5.8,6,5.2,6
"SELTCAWRS_t247_v8",6,1.8,1.4,1.6,1.4,2.2
"SELTCAWRS_t250_v1",5.2,2.4,3.4,2,2.6,2.2
"SELTCAWRS_t250_v2",5.5,5,6.25,5.75,5.5,5.5
"SELTCAWRS_t250_v3",4.8,3,1.6,1.8,1.8,2.6
"SELTCAWRS_t250_v4",5.2,5,6,6.2,5,5.4
"SELTCAWRS_t250_v5",5.2,4,6.2,5.6,4.6,5.6
"SELTCAWRS_t250_v6",4.4,3.4,3,2.2,4,1.8
"SELTCAWRS_t250_v7",5.8,5.6,6.4,6.4,4.4,6
"SELTCAWRS_t250_v8",5.2,3.2,1.6,1.6,2.2,1.8
"SELTCAWRS_t251_v1",5.8,1.8,1.6,1.6,1.8,1.6
"SELTCAWRS_t251_v2",6,5,5.8,6.2,5.4,5.8
"SELTCAWRS_t251_v3",6.2,1.6,1.4,1.4,1.6,2.2
"SELTCAWRS_t251_v4",6.2,6.4,6.2,6.4,6,6.2
"SELTCAWRS_t251_v5",6.6,5.8,6.6,6.4,5.8,6.4
"SELTCAWRS_t251_v6",6.4,1.2,1.2,1.2,1.4,1.2
"SELTCAWRS_t251_v7",6.6,6.8,6.2,6.8,5.8,6.4
"SELTCAWRS_t251_v8",6.4,1.6,1.2,1.2,1.4,1.6
"SELTCAWRS_t253_v1",5.2,2,3.4,1.8,2.8,2.6
"SELTCAWRS_t253_v2",5.6,4.6,5.2,5.8,5.8,5.2
"SELTCAWRS_t253_v3",5.8,1.8,1.8,1.8,1.8,2.2
"SELTCAWRS_t253_v4",5.8,5.4,5.8,6,5.2,5.6
"SELTCAWRS_t253_v5",5.6,5,5.2,5.8,5.2,5.4
"SELTCAWRS_t253_v6",5.8,1.6,3,1.4,1.2,2
"SELTCAWRS_t253_v7",6,6,6,6,5.4,6
"SELTCAWRS_t253_v8",6.2,1.6,1.8,1.8,1.8,1.8
"SELTCAWRS_t257_v1",5.8,1.6,2.8,1.4,1.6,1.4
"SELTCAWRS_t257_v2",6.2,5.4,5.4,6.2,5.4,5.4
"SELTCAWRS_t257_v3",6.2,1.2,1.2,1.2,1.2,2.2
"SELTCAWRS_t257_v4",6,6.2,5.4,6.2,5.4,5.6
"SELTCAWRS_t257_v5",6.2,6.2,5.6,6.2,6.2,5.2
"SELTCAWRS_t257_v6",6.4,1.2,2.4,1.4,1.2,1.4
"SELTCAWRS_t257_v7",6.6,6.6,5.6,6.2,6.6,6.6
"SELTCAWRS_t257_v8",6.4,1.2,1.2,1.2,1.2,1.6
"SELTCAWRS_t259_v1",5.8,2,2.4,1.8,2.2,2.2
"SELTCAWRS_t259_v2",6,5.8,5.8,6,6.2,5.8
"SELTCAWRS_t259_v3",5.8,1.8,1.6,1.8,1.6,2.6
"SELTCAWRS_t259_v4",6,6.2,5.8,6,5.8,5.8
"SELTCAWRS_t259_v5",6.2,6,5.8,6.2,6,5.8
"SELTCAWRS_t259_v6",6.4,1.6,1.6,1.4,1.6,1.8
"SELTCAWRS_t259_v7",6.2,6.2,6,6.4,6.2,5.6
"SELTCAWRS_t259_v8",6.8,1.2,1.4,1.4,1.4,1.6
"SELTCAWRS_t260_v1",5,2.4,3.2,1.8,3.2,2.2
"SELTCAWRS_t260_v2",4.4,4.4,6.2,5.4,5,4.8
"SELTCAWRS_t260_v3",5,2.4,1.8,1.8,1.8,2.6
"SELTCAWRS_t260_v4",4.2,4.8,5.6,5.4,4.6,4.4
"SELTCAWRS_t260_v5",4.8,4.2,6,5,5.2,4.6
"SELTCAWRS_t260_v6",4.6,3.8,1.8,2.4,3.4,3.2
"SELTCAWRS_t260_v7",5,5.8,6,5.8,4.4,5.8
"SELTCAWRS_t260_v8",3.2,3.2,1.6,2,3,3.4
"SELTCAWRS_t28_v1",3.8,2.8,2.4,2.2,4.2,3.8
"SELTCAWRS_t28_v2",5.2,4,6,6,4.4,5
"SELTCAWRS_t28_v3",5.4,1.8,2.2,1.8,2.2,2.4
"SELTCAWRS_t28_v4",5.75,5.75,5.5,5.75,5.25,5.5
"SELTCAWRS_t28_v5",5.8,5.2,5.8,6.2,5.2,5.6
"SELTCAWRS_t28_v6",5.8,1.8,1.8,1.4,1.8,2.2
"SELTCAWRS_t28_v7",6.2,6.4,5.4,6.6,6.2,6.4
"SELTCAWRS_t28_v8",6.4,1.4,1.4,1.2,1.2,1.6
"SELTCAWRS_t29_v1",5.4,2.2,2.2,2,2.8,2.6
"SELTCAWRS_t29_v2",6.2,5.8,6.2,6.4,6.2,5.8
"SELTCAWRS_t29_v3",6,1.6,1.4,1.8,1.4,1.8
"SELTCAWRS_t29_v4",6,5.8,5,6.2,6,5.4
"SELTCAWRS_t29_v5",6.2,5.4,6,6.2,5.6,6
"SELTCAWRS_t29_v6",6.2,1.6,1.8,1.2,1.4,1.6
"SELTCAWRS_t29_v7",6.4,5,5,5.2,5.4,5.4
"SELTCAWRS_t29_v8",6.8,1.2,1.2,1.2,1.2,1.2
"SELTCAWRS_t3_v1",4.75,2,2.25,2,3.25,2.75
"SELTCAWRS_t3_v2",4,3,4.25,4.5,4.25,3.5
"SELTCAWRS_t3_v3",4.25,3.25,1.75,2.75,2.75,3.5
"SELTCAWRS_t3_v4",5,5.33333333333333,4.66666666666667,5.33333333333333,5,4
"SELTCAWRS_t3_v5",4.5,4.75,4.25,4,5.25,3.5
"SELTCAWRS_t3_v6",4.25,2.75,2.75,2.5,3,2.5
"SELTCAWRS_t3_v7",5.25,5.25,4.25,4.5,5.25,4.5
"SELTCAWRS_t3_v8",5.5,2,1.5,2.25,1.75,3
"SELTCAWRS_t31_v1",5,2.6,2.2,2,3.4,2.2
"SELTCAWRS_t31_v2",5.4,3.8,5.6,6,4.8,5.4
"SELTCAWRS_t31_v3",4.8,3.2,1.4,2.8,1.4,3.2
"SELTCAWRS_t31_v4",5.8,6,6,6.2,5.2,5.4
"SELTCAWRS_t31_v5",4.8,3.8,5,5.2,4.6,4
"SELTCAWRS_t31_v6",5.2,2.8,2,1.8,3.8,1.4
"SELTCAWRS_t31_v7",5.4,4.4,4.4,4.8,3.4,4.4
"SELTCAWRS_t31_v8",5.5,3.5,1,2,1.25,2.5
"SELTCAWRS_t32_v1",3.6,2,3.4,3,3.2,3
"SELTCAWRS_t32_v2",5.2,5,4.8,5.8,6.2,5.8
"SELTCAWRS_t32_v3",5.6,2.4,2.4,1.8,2,2.6
"SELTCAWRS_t32_v4",5,5.5,4,5.5,4.25,4.5
"SELTCAWRS_t32_v5",4.4,4.4,3.6,5,6,4.4
"SELTCAWRS_t32_v6",3.8,2.4,4,2.8,2.2,2.8
"SELTCAWRS_t32_v7",5,5.4,4.6,5.2,5.4,4.8
"SELTCAWRS_t32_v8",4.4,2.2,1.6,3,1.4,3.4
"SELTCAWRS_t33_v2",5.6,4.4,6,6,5.4,5.4
"SELTCAWRS_t33_v3",5.4,2.4,1.4,2,1.4,2
"SELTCAWRS_t33_v4",6.2,5.6,5.8,6.2,6.2,6
